# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2016-07-13,0.0006035,0.0006413,0.0005686,0.0006347,227722345.68,144536.28
2016-07-14,0.0006347,0.000723,0.0006047,0.0006835,386312368.41,264059.96
2016-07-15,0.0006835,0.0008103,0.0006841,0.0007771,492778507.41,382945.08
2016-07-16,0.0007771,0.0007796,0.0007069,0.0007202,184741077.79,133041.68
2016-07-17,0.0007202,0.0007507,0.0006966,0.0006966,107821466.11,75110.58
2016-07-18,0.0006966,0.0007039,0.0006503,0.0006771,128324056.89,86886.14
2016-07-19,0.0006771,0.0006979,0.000651,0.0006644,170682441.4,113399.54
2016-07-20,0.0006644,0.0007242,0.0006511,0.0006843,216092276.77,147878.86
2016-07-21,0.0006843,0.0007111,0.0006846,0.0006979,87851103.89,61306.98
2016-07-22,0.0006979,0.0007423,0.0006772,0.0007162,193983001.77,138934.7
2016-07-23,0.0007162,0.0007207,0.0006879,0.000701,96638803.46,67745.85
2016-07-24,0.000701,0.000712,0.0006329,0.0006659,201366022.59,134086.19
2016-07-25,0.0006659,0.0006736,0.0006475,0.000654,86862037.77,56807.77
2016-07-26,0.000654,0.0006806,0.0006217,0.0006413,321851393.97,206400.85
2016-07-27,0.0006413,0.0006742,0.0006284,0.0006414,271952072.04,174443.44
2016-07-28,0.0006414,0.0006738,0.0006214,0.0006607,226437744.2,149600.92
2016-07-29,0.0006607,0.0006816,0.0006489,0.0006554,145074532.64,95086.2
2016-07-30,0.0006554,0.0006678,0.0006416,0.0006482,49376058.32,32005.2
2016-07-31,0.0006482,0.0006343,0.0006094,0.0006281,118356309.18,74338.26
2016-08-01,0.0006281,0.0006191,0.0006009,0.0006131,110499608.84,67744.0
2016-08-02,0.0006131,0.0005237,0.0004621,0.0004826,210638310.35,101659.15
2016-08-03,0.0004826,0.0005608,0.0005268,0.0005325,163495714.61,87053.88
2016-08-04,0.0005325,0.0005705,0.0005416,0.0005532,170300038.19,94205.08
2016-08-05,0.0005532,0.0005747,0.0005402,0.0005689,126873192.59,72179.86
2016-08-06,0.0005689,0.0005864,0.0005513,0.0005513,100790874.48,55562.28
2016-08-07,0.0005513,0.0005672,0.0005436,0.0005495,81509991.49,44788.97
2016-08-08,0.0005495,0.0005539,0.0005185,0.0005303,112221464.93,59512.84
2016-08-09,0.0005303,0.0005384,0.0005033,0.0005209,125408680.32,65321.93
2016-08-10,0.0005209,0.0005259,0.0004964,0.0005141,175296015.99,90122.8
2016-08-11,0.0005141,0.0005761,0.0004997,0.0005526,212438571.26,117387.1
2016-08-12,0.0005526,0.0005578,0.0004991,0.0005167,114640807.16,59232.98
2016-08-13,0.0005167,0.0005378,0.0005086,0.0005203,77309732.14,40223.1
2016-08-14,0.0005203,0.0005122,0.0004951,0.0005008,88715870.44,44426.49
2016-08-15,0.0005008,0.0005159,0.0004932,0.0004989,68802235.59,34326.54
2016-08-16,0.0004989,0.0005164,0.0005048,0.0005048,40862374.53,20625.91
2016-08-17,0.0005048,0.0005151,0.0004979,0.0004979,56909633.69,28337.34
2016-08-18,0.0004979,0.000539,0.0004988,0.0005218,98580120.59,51437.62
2016-08-19,0.0005218,0.0005286,0.0004999,0.0005114,90815032.79,46439.03
2016-08-20,0.0005114,0.0005243,0.0005069,0.0005127,62762121.52,32177.94
2016-08-21,0.0005127,0.0005168,0.0005052,0.0005052,29539503.5,14922.6
2016-08-22,0.0005052,0.000517,0.0004641,0.0004817,121326965.05,58446.28
